Sample	ampicillin	amoxicillin-clavulanic_acid	amikacin	cefazolin	cefalotin	ciprofloxacin	cefixime	ceftazidime	gentamicin_C	meropenem	nitrofurantoin	piperacillin-tazobactam	tetracycline	tobramycin	trimethoprim-sulfamethoxazole	cefoxitin	ceftriaxone	ertapenem
C0417	R	S	S	R	R	R	R	R	S	S	S	S	S	S	S	S	R	S
C0418	R	R	S	R	R	S	S	S	S	S	S	R	S	S	S	S	S	S
C0427	R	S	S	S	I	R	S	S	S	S	S	S	R	S	S	S	S	S
C0428	S	S	S	S	I	R	S	S	S	S	S	S	S	S	S	S	S	S
C0429	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0437	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0438	R	S	S	S	R	R	S	S	S	S	S	S	S	S	S	R	S	S
C0439	R	R	S	R	R	S	S	S	S	S	S	I	S	S	R	S	S	S
C0440	R	R	S	R	R	R	R	RA	S	S	S	R	R	R	R	I	R	S
C0450	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0451	R	S	S	S	I	R	S	S	S	S	S	S	R	S	R	S	S	S
C0452	R	S	S	R	R	R	R	RA	S	S	S	S	R	S	R	S	R	S
C0460	R	S	S	S	S	S	S	S	S	S	S	S	S	S	R	S	S	S
C0461	R	S	S	S	I	R	S	S	S	S	S	S	S	S	R	S	S	S
C0462	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0472	R	R	S	R	R	R	R	R	R	S	R	S	S	R	S	R	R	S
C0473	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0474	S	S	S	S	R	S	S	S	S	S	S	S	R	S	S	S	S	S
C0475	I	S	S	S	I	I	S	S	S	S	S	S	S	S	S	I	S	S
C0476	R	S	S	S	I	S	S	S	R	S	S	S	S	S	S	S	S	S
C0477	R	R	S	R	R	R	R	R	R	S	S	R	R	R	R	I	R	S
C0478	R	I	S	S	R	S	S	S	S	S	S	I	S	S	S	S	S	S
C0483	R	I	S	I	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0484	R	S	S	S	S	S	S	S	S	S	S	S	R	S	R	S	S	S
C0485	S	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0594	R	R	S	R	R	R	R	R	R	S	S	S	R	R	R	I	R	S
C0596	R	S	S	S	I	S	S	S	S	S	S	S	S	S	S	S	S	S
C0597	R	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
C0611	R	R	S	R	R	R	R	R	S	RA	S	R	S	R	R	RA	R	R
C0615	R	S	S	R	R	S	R	RA	S	S	S	S	R	S	R	S	R	S
C0616	R	R	S	R	R	R	R	R	R	S	R	I	S	R	S	I	R	S
C0627	R	S	S	R	R	R	R	RA	S	S	S	S	S	S	R	S	R	S
C0628	R	R	S	R	R	R	R	RA	S	S	S	S	R	S	R	R	RA	S
C0634	R	S	S	R	R	S	RA	RA	S	S	S	S	S	S	S	S	R	S
C0644	R	R	S	R	R	R	S	S	S	S	S	R	R	S	R	R	S	R
C0647	R	R	R	R	R	R	R	R	R	RA	S	R	R	R	R	R	R	R
C0648	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
C0649	R	S	S	R	R	R	R	R	S	S	S	S	S	S	S	S	R	S
C0655	R	I	S	R	R	R	RA	RA	S	S	S	S	R	S	S	S	R	S
C0656	R	R	S	R	R	R	R	R	R	S	S	S	R	R	S	S	R	S
